NAMESPACE	POD	CONTAINER	MEM-Q1
backoffice-prd	backoffice-frontend-prod-41-bfffq	backoffice-frontend-prod	99958784
backoffice-prd	oossacl-backend-7-sk6kk	oossacl-backend	103317504
backoffice-prd	oossacl-backend-7-wz6rv	oossacl-backend	103350272
backoffice-prd	backoffice-frontend-prod-41-jhm99	backoffice-frontend-prod	88485888
backoffice-prd	oossacl-backend-7-7hm67	oossacl-backend	119013376
backoffice-prd	oossacl-backend-7-l2gwk	oossacl-backend	103243776
backoffice-prd	oossacl-backend-7-bblfh	oossacl-backend	103452672
backoffice-prd	oossacl-backend-7-s9gvs	oossacl-backend	103335936
backoffice-prd	oossacl-backend-7-xk4gc	oossacl-backend	132941824
backoffice-prd	backoffice-frontend-prod-41-hww7k	backoffice-frontend-prod	112955392
backoffice-prd	backoffice-frontend-prod-41-xhjr2	backoffice-frontend-prod	88748032
backoffice-prd	backoffice-frontend-prod-41-97kxz	backoffice-frontend-prod	97677312
backoffice-prd	oossacl-backend-7-788fp	oossacl-backend	220188672
backoffice-prd	oossacl-backend-7-zxp29	oossacl-backend	103350272
backoffice-prd	backoffice-backend-12-gt67k	backoffice-backend	151976960
backoffice-prd	backoffice-frontend-prod-41-hbr8b	backoffice-frontend-prod	90775552
backoffice-prd	backoffice-frontend-prod-41-qmnkp	backoffice-frontend-prod	95674368
backoffice-prd	oossacl-backend-7-jgg6v	oossacl-backend	417642496
backoffice-prd	registro-ooss-backend-1-xx2h2	registro-ooss-backend	0
backoffice-prd	backoffice-frontend-prod-41-7fn8j	backoffice-frontend-prod	88711168
backoffice-prd	backoffice-frontend-prod-41-7mz6l	backoffice-frontend-prod	95563776
backoffice-prd	oossacl-backend-7-n9hcj	oossacl-backend	105242624
backoffice-prd	oossacl-backend-7-r6rcz	oossacl-backend	103299072
backoffice-prd	oossacl-backend-7-99xvj	oossacl-backend	103137280
backoffice-prd	backoffice-frontend-prod-41-skxbk	backoffice-frontend-prod	88498176
backoffice-prd	backoffice-frontend-prod-41-bdd2x	backoffice-frontend-prod	90644480
backoffice-prd	oossacl-backend-7-t4k5f	oossacl-backend	103350272
backoffice-prd	oossacl-backend-7-bw2xz	oossacl-backend	103342080
backoffice-prd	oossacl-backend-7-k5vpf	oossacl-backend	103409664
backoffice-prd	oossacl-backend-7-wvm84	oossacl-backend	103276544
backoffice-prd	oossacl-backend-7-m4lfs	oossacl-backend	137111552
backoffice-prd	oossacl-backend-7-ls7gq	oossacl-backend	103344128
backoffice-prd	backoffice-frontend-prod-41-cm9ss	backoffice-frontend-prod	95789056
